Name,Duration,Genre,Rating
"Chowkidar",125,Drama,5.3
"Chronicles of Hari",110,Drama,5.9
"Chura Liyaa Hai Tumne",153,Action,3.7
"City Lights",116,Drama,7.4
"Class of '83",108,Action,5.8
"Click",117,Drama,3.5
"Coffee Bloom",80,Drama,5.9
"Come December",82,Drama,5.6
"Commando",159,Action,4.2
"Commando",134,Action,6.2
"Commando 2",154,Action,5.3
"Commando 3",143,Action,5.7
"Congregation",130,Drama,6.5
"Consequence Karma",82,Drama,9
"Contract",127,Action,4
"Coolie",187,Action,6.6
"Coolie No. 1",156,Action,6.7
"Coolie No. 1",144,Action,2.9
"Corporate",132,Drama,6.5
"Courage",171,Action,4.8
"Court",106,Drama,7.7
"Crazy Mad Lover",173,Action,5.6
"Crd",98,Drama,6.2
"Creature",144,Action,3.1
"Criminal",133,Action,5.7
"Crook: It's Good to Be Bad",131,Action,5.1
"Current",109,Drama,6.9
"Cycle Kick",76,Drama,6.1
"Daadagiri",128,Drama,4.6
"Daadi Maa",181,Action,6.2
"Daaera",129,Drama,6.5
"Daag",139,Drama,7
"Daag: A Poem of Love",136,Drama,7
"Daag: The Fire",162,Action,4.8
"Daas",173,Action,3.1
"Daas Dev",130,Drama,5.1
"Daava",155,Action,4.5
"Daawat-e-Biryani",79,Drama,7.1
"Dabangg",136,Action,6.2
"Dabangg 2",130,Action,4.8
"Dabangg 3",170,Action,3
"Dacait",168,Action,6.5
"Dada",147,Action,5
"Dada",143,Action,4.8
"Daddy's Daughter",87,Drama,7.7
"Dafaa 302: Indian Penal Code Section 302 (Section of Murder)",108,Drama,4.9
"Dagadi Chaawl",130,Action,6.2
"Dahan",135,Drama,7.4
"Dahek: A Burning Passion",145,Drama,5.5
"Dahleez",171,Action,5.3
"Daku Aur Mahatma",137,Action,4.7
"Daku Kali Bhawani",130,Action,3.8
"Dalaal",170,Action,4.9
"Damul",96,Drama,6.7
"Dance Dance",163,Action,6.1
"Dance of the Wind",75,Drama,6.6
"Dancer",160,Action,3.9
"Dand Nayak",163,Action,3.7
"Dangal",171,Action,8.4
"Dansh",93,Drama,7
"Dansh",75,Drama,8.3
"Daraar",115,Action,5.4
"Darbaan",135,Drama,7.5
"Darbar",169,Action,6.1
"Dard Ka Rishta",142,Drama,7
"Darklight",103,Drama,6.5
"Darling",118,Drama,3.8
"Darmiyaan: In Between",118,Drama,7.2
"Darr",188,Action,7.8
"Dassehra",141,Action,3.8
"Dastak",131,Drama,4.7
"Dastak",135,Drama,7.1
"Dastan",112,Drama,6.8
"Dattak",115,Drama,7.4
"Daud: Fun on the Run",190,Action,5.9
"Daulat",160,Action,6.1
"Daulat Ki Jung",153,Action,5.7
"David",165,Action,6.2
"Dayavan",183,Action,6.5
"Days and Nights on Earth",65,Drama,8.1
"D-Day",163,Action,7.2
"De Dana Dan",172,Action,5.5
"Dear Dad",85,Drama,6.3
"Dear Maya",101,Drama,5.8
"Dear Zindagi",141,Drama,7.5
"Debshishu",90,Drama,7.5
"Deedar",120,Drama,4.3
"Deewaanapan",163,Action,4.6
"Deewaangee",178,Action,6.5
"Deewaar",184,Action,8.1
"Deewana",195,Action,6.9
"Deewana Tere Naam Ka",87,Drama,5
"Deewane",174,Action,4.7
"Deewane Huye Paagal",168,Action,5.3
"Delhi 47 KM",88,Drama,5.9
"Delhi Belly",113,Action,7.6
"Department",151,Action,3.1
"Desh",120,Drama,4.9
"Desh Drohee",168,Action,5.5
"Desh Premee",175,Action,6
"Deshwasi",155,Action,3.6
"Desi Kattey",149,Action,4
"Detective Byomkesh Bakshy!",149,Action,7.7
"Dev",162,Drama,6.9
"Dev.D",134,Drama,8
"Devaki",77,Drama,4.2
"Devata",138,Drama,7.1
"Devdas",175,Drama,7.6
"Devdas",129,Drama,6.2
"Devdas",149,Drama,7.9
"Devi Aur Hero",107,Drama,7.8
"Devi Putrudu",171,Action,5.8
"Devil (Maupassant's Le Diable)",69,Drama,5.2
"Devta",187,Action,3.5
"Dhaad",145,Action,5.5
"Dhaai Akshar Prem Ke",157,Drama,3.7
"Dhaal: The Battle of Law Against Law",158,Action,5.1
"Dhadak",128,Drama,4.5
"Dhadkan",151,Drama,6.5
"Dhadkanein",156,Action,4.4
"Dhamaal",146,Action,7.3
"Dhamkee",142,Action,5.4
"Dhan Daulat",136,Drama,6.5
"Dhan Dhana Dhan Goal",157,Drama,5
"Dhara 302",138,Drama,4.4
"Dharam Sankat",165,Action,3.5
"Dharam Veer",175,Action,6.7
"Dharm Adhikari",169,Action,5.8
"Dharmatma",173,Action,6.7
"Dharmputra",140,Drama,7.3
"Dharti Ke Lal",115,Drama,6.4
"Dhh",118,Drama,7.8
"Dhill",168,Action,7
"Dhobi Ghat",90,Drama,7
"Dhokha",127,Action,6.2
"Dhool Ka Phool",143,Drama,6.7
"Dhoom",139,Action,6.7
"Dhoom 2",162,Action,6.5
"Dhoom 3",182,Action,5.4
"Dhoop",116,Drama,7.2
"Dhuan",142,Drama,7.2
"Dhumm",149,Action,6.9
"Dhund",120,Drama,7.2
"Dial 100",155,Action,6.1
"Diamond Queen",165,Action,6.1
"Diary of a Butterfly",87,Drama,3.6
"Diksha",110,Drama,7
"Dil Aashna Hai (...The Heart Knows)",154,Drama,5
"Dil Aur Mohabbat",147,Action,6.1
"Dil Diya Dard Liya",159,Drama,6.4
"Dil Diya Hai",111,Drama,3.5
"Dil Hai Betaab",167,Action,3.1
"Dil Hai Tumhaara",175,Drama,5.3
"Dil Hi To Hai",154,Drama,5.1
"Dil Jo Bhi Kahey...",134,Drama,4.6
"Dil Ka Rishta",140,Drama,4.8
"Dil Ka Sauda",146,Action,5.3
"Dil Kya Kare",148,Drama,5.1
"Dil Ne Jise Apna Kaha",125,Drama,4.4
"Dil Ne Pukara",163,Drama,7
"Dil Tera Diwana",129,Drama,5
