Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Odi No
12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,18/08/08,ODI # 2742
37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,20/08/08,ODI # 2745
25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),24/08/08,ODI # 2750
54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),27/08/08,ODI # 2755
31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),29/08/08,ODI # 2756
2,6,2,0,0,100,7,not out,1,v Sri Lanka,Colombo (RPS),14/09/09,ODI # 2889
16,28,24,1,0,66.66,4,caught,2,v Pakistan,Centurion,26/09/09,ODI # 2898
TDNB,-,-,-,-,-,-,-,-,v Australia,Centurion,28/09/09,ODI # 2901
79,121,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg,30/09/09,ODI # 2904
30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,25/10/09,ODI # 2913
10,32,16,1,0,62.5,3,caught,2,v Australia,Mohali,02/11/09,ODI # 2919
27,20,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot,15/12/09,ODI # 2932
54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,18/12/09,ODI # 2933
107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Eden Gardens,24/12/09,ODI # 2935
TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Delhi,27/12/09,ODI # 2936
9,19,12,1,0,75,3,caught,1,v Sri Lanka,Mirpur,05/01/10,ODI # 2938
91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Mirpur,07/01/10,ODI # 2939
71,98,68,9,0,104.41,3,not out,2,v Sri Lanka,Mirpur,10/01/10,ODI # 2941
102,128,95,11,0,107.36,3,not out,2,v Bangladesh,Mirpur,11/01/10,ODI # 2942
2,6,8,0,0,25,3,caught,1,v Sri Lanka,Mirpur,13/01/10,ODI # 2943
31,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,21/02/10,ODI # 2961
DNB,-,-,-,-,-,-,-,1,v South Africa,Gwalior,24/02/10,ODI # 2962
57,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,27/02/10,ODI # 2963
0,3,0,0,0,-,3,run out,1,v Zimbabwe,Bulawayo,28/05/10,ODI # 2981
82,125,92,4,0,89.13,3,caught,2,v Sri Lanka,Bulawayo,30/05/10,ODI # 2983
18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,03/06/10,ODI # 2986
68,123,95,5,0,71.57,3,caught,1,v Sri Lanka,Harare,05/06/10,ODI # 2988
11,35,22,0,0,50,3,stumped,2,v Bangladesh,Dambulla,16/06/10,ODI # 2993
18,31,27,1,0,66.66,3,bowled,2,v Pakistan,Dambulla,19/06/10,ODI # 2996
10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,22/06/10,ODI # 2999
28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,24/06/10,ODI # 3001
0,5,3,0,0,0,3,caught,2,v Sri Lanka,Dambulla,16/08/10,ODI # 3032
8,22,16,1,0,50,3,caught,1,v New Zealand,Dambulla,25/08/10,ODI # 3039
37,98,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,28/08/10,ODI # 3040
118,193,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,20/10/10,ODI # 3060
105,162,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,28/11/10,ODI # 3070
64,78,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,01/12/10,ODI # 3072
63,83,70,6,2,90,3,not out,2,v New Zealand,Vadodara,04/12/10,ODI # 3074
0,3,2,0,0,0,3,caught,2,v New Zealand,Bengaluru,07/12/10,ODI # 3076
2,10,8,0,0,25,3,caught,2,v New Zealand,Chennai,10/12/10,ODI # 3077
54,122,70,2,1,77.14,3,caught,2,v South Africa,Durban,12/01/11,ODI # 3079
22,43,34,1,0,64.7,3,run out,1,v South Africa,Johannesburg,15/01/11,ODI # 3080
28,51,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,18/01/11,ODI # 3082
87,126,92,7,2,94.56,3,not out,2,v South Africa,Gqeberha,21/01/11,ODI # 3084
2,11,6,0,0,33.33,3,caught,2,v South Africa,Centurion,23/01/11,ODI # 3087
100,113,83,8,2,120.48,4,not out,1,v Bangladesh,Mirpur,19/02/11,ODI # 3100
8,12,5,1,0,160,7,bowled,1,v England,Bengaluru,27/02/11,ODI # 3110
34,82,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,06/03/11,ODI # 3121
12,16,20,2,0,60,5,bowled,2,v Netherlands,Delhi,09/03/11,ODI # 3124
1,2,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,12/03/11,ODI # 3128
59,128,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,20/03/11,ODI # 3141
24,38,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,24/03/11,ODI # 3143
9,20,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,30/03/11,ODI # 3147
35,69,49,4,0,71.42,4,caught,2,v Sri Lanka,Wankhede,02/04/11,ODI # 3148
2,5,8,0,0,25,3,caught,2,v West Indies,Port of Spain,06/06/11,ODI # 3159
81,118,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,08/06/11,ODI # 3160
0,1,1,0,0,0,3,lbw,2,v West Indies,North Sound,11/06/11,ODI # 3161
22,68,33,1,0,66.66,3,stumped,2,v West Indies,North Sound,13/06/11,ODI # 3162
94,135,104,10,0,90.38,3,run out,1,v West Indies,Kingston,16/06/11,ODI # 3163
55,92,73,4,0,75.34,4,bowled,1,v England,Chester-le-Street,03/09/11,ODI # 3186
9,9,9,0,0,100,4,caught,1,v England,Southampton,06/09/11,ODI # 3187
7,18,18,0,0,38.88,4,caught,1,v England,The Oval,09/09/11,ODI # 3189
16,40,36,1,0,44.44,4,caught,1,v England,Lord's,11/09/11,ODI # 3191
